,Region,Domain,Facility_ID
0,Benešov,Dentální hygienistka,553
1,Benešov,Dentální hygienistka,715
2,Benešov,Dentální hygienistka,2627
3,Benešov,Dentální hygienistka,4698
4,Benešov,Dentální hygienistka,4699
5,Benešov,Dentální hygienistka,6091
6,Benešov,Dentální hygienistka,7972
7,Benešov,Dentální hygienistka,11040
8,Benešov,Dentální hygienistka,20737
9,Benešov,Dentální hygienistka,21598
10,Benešov,Dentální hygienistka,28199
11,Benešov,Dentální hygienistka,38827
12,Benešov,Dentální hygienistka,54475
13,Benešov,dětské lékařství,41875
14,Benešov,dětské lékařství,41876
15,Benešov,Fyzioterapeut,1709
16,Benešov,Fyzioterapeut,2788
17,Benešov,Fyzioterapeut,3550
18,Benešov,Fyzioterapeut,6419
19,Benešov,Fyzioterapeut,6420
20,Benešov,Fyzioterapeut,6421
21,Benešov,Fyzioterapeut,6422
22,Benešov,Fyzioterapeut,6436
23,Benešov,Fyzioterapeut,6437
24,Benešov,Fyzioterapeut,9441
25,Benešov,Fyzioterapeut,13182
26,Benešov,Fyzioterapeut,17055
27,Benešov,Fyzioterapeut,17056
28,Benešov,Fyzioterapeut,22320
29,Benešov,Fyzioterapeut,23287
30,Benešov,Fyzioterapeut,24269
31,Benešov,Fyzioterapeut,26938
32,Benešov,Fyzioterapeut,26939
33,Benešov,Fyzioterapeut,30287
34,Benešov,Fyzioterapeut,39649
35,Benešov,Fyzioterapeut,39650
36,Benešov,Fyzioterapeut,41863
37,Benešov,Fyzioterapeut,43333
38,Benešov,Fyzioterapeut,46148
39,Benešov,Fyzioterapeut,46729
40,Benešov,chirurgie,20393
41,Benešov,chirurgie,24550
42,Benešov,chirurgie,27466
43,Benešov,chirurgie,34493
44,Benešov,chirurgie,38622
45,Benešov,chirurgie,39393
46,Benešov,chirurgie,41855
47,Benešov,chirurgie,41866
48,Benešov,chirurgie,41867
49,Benešov,chirurgie,50088
50,Benešov,chirurgie,51308
51,Benešov,kardiologie,1710
52,Benešov,kardiologie,33870
53,Benešov,kardiologie,34477
54,Benešov,kardiologie,34486
55,Benešov,kardiologie,41831
56,Benešov,kardiologie,41843
57,Benešov,Optometrista,4986
58,Benešov,Optometrista,31057
59,Benešov,ortopedie a traumatologie pohybového ústrojí,2709
60,Benešov,ortopedie a traumatologie pohybového ústrojí,2710
61,Benešov,ortopedie a traumatologie pohybového ústrojí,8554
62,Benešov,ortopedie a traumatologie pohybového ústrojí,12815
